[DEBUG] 2021-07-08 16:31:27.057 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-07-08 16:31:27.057 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-07-08 16:31:27.072 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2021-07-08 16:31:27.104 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.search.mapper.orm.bootstrap.impl.HibernateSearchIntegrator].
[INFO ] 2021-07-08 16:31:27.244 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-07-08 16:31:27.244 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-07-08 16:31:27.619 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-07-08 16:31:27.619 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-07-08 16:31:27.635 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-07-08 16:31:28.104 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-07-08 16:31:28.104 [main] ServiceBinding - Overriding existing service binding [org.hibernate.search.mapper.orm.mapping.impl.HibernateSearchContextProviderService]
[DEBUG] 2021-07-08 16:31:28.135 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-07-08 16:31:28.135 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-07-08 16:31:28.166 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2021-07-08 16:31:28.244 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7135ce0a
[DEBUG] 2021-07-08 16:31:28.244 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7135ce0a
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7135ce0a
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1df5c7e3
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@25953be6
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@b0f2d91
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@184823ed
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@184823ed
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@184823ed
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@794eeaf8
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@794eeaf8
[DEBUG] 2021-07-08 16:31:28.260 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@794eeaf8
