[DEBUG] 2021-07-03 20:44:26.418 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-07-03 20:44:26.445 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-07-03 20:44:26.456 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2021-07-03 20:44:26.509 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.search.mapper.orm.bootstrap.impl.HibernateSearchIntegrator].
[INFO ] 2021-07-03 20:44:26.698 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-07-03 20:44:26.703 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-07-03 20:44:27.096 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-07-03 20:44:27.098 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-07-03 20:44:27.105 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-07-03 20:44:27.631 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-07-03 20:44:27.631 [main] ServiceBinding - Overriding existing service binding [org.hibernate.search.mapper.orm.mapping.impl.HibernateSearchContextProviderService]
[DEBUG] 2021-07-03 20:44:27.670 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-07-03 20:44:27.672 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-07-03 20:44:27.698 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2021-07-03 20:44:27.793 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6e0c6a7a
[DEBUG] 2021-07-03 20:44:27.793 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6e0c6a7a
[DEBUG] 2021-07-03 20:44:27.793 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6e0c6a7a
[DEBUG] 2021-07-03 20:44:27.795 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@611a990b
[DEBUG] 2021-07-03 20:44:27.796 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@65e21ce3
[DEBUG] 2021-07-03 20:44:27.798 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5f0f9947
[DEBUG] 2021-07-03 20:44:27.800 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@44536de4
[DEBUG] 2021-07-03 20:44:27.801 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@44536de4
[DEBUG] 2021-07-03 20:44:27.801 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@44536de4
[DEBUG] 2021-07-03 20:44:27.803 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4d21c56e
[DEBUG] 2021-07-03 20:44:27.804 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4d21c56e
[DEBUG] 2021-07-03 20:44:27.804 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4d21c56e
[DEBUG] 2021-07-03 20:44:27.806 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4faa298
[DEBUG] 2021-07-03 20:44:27.806 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4faa298
[DEBUG] 2021-07-03 20:44:27.806 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4faa298
[DEBUG] 2021-07-03 20:44:27.808 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@733aa9d8
[DEBUG] 2021-07-03 20:44:27.808 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@733aa9d8
[DEBUG] 2021-07-03 20:44:27.809 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@733aa9d8
[DEBUG] 2021-07-03 20:44:27.811 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@10f7c76
[DEBUG] 2021-07-03 20:44:27.811 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@10f7c76
[DEBUG] 2021-07-03 20:44:27.811 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@10f7c76
[DEBUG] 2021-07-03 20:44:27.814 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5dd903be
[DEBUG] 2021-07-03 20:44:27.814 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5dd903be
[DEBUG] 2021-07-03 20:44:27.814 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5dd903be
[DEBUG] 2021-07-03 20:44:27.816 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5a6fa56e
[DEBUG] 2021-07-03 20:44:27.816 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5a6fa56e
[DEBUG] 2021-07-03 20:44:27.817 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5a6fa56e
[DEBUG] 2021-07-03 20:44:27.819 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@784abd3e
[DEBUG] 2021-07-03 20:44:27.819 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@784abd3e
[DEBUG] 2021-07-03 20:44:27.821 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@bc042d5
[DEBUG] 2021-07-03 20:44:27.821 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@bc042d5
[DEBUG] 2021-07-03 20:44:27.823 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@68ab0936
[DEBUG] 2021-07-03 20:44:27.823 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@68ab0936
[DEBUG] 2021-07-03 20:44:27.824 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@74ecacc3
[DEBUG] 2021-07-03 20:44:27.826 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@27d33393
[DEBUG] 2021-07-03 20:44:27.828 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1305c126
[DEBUG] 2021-07-03 20:44:27.828 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1305c126
[DEBUG] 2021-07-03 20:44:27.829 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@23f3da8b
[DEBUG] 2021-07-03 20:44:27.830 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@23f3da8b
[DEBUG] 2021-07-03 20:44:27.844 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@1cc680e
[DEBUG] 2021-07-03 20:44:27.844 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@1cc680e
[DEBUG] 2021-07-03 20:44:27.846 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6f94fb9d
[DEBUG] 2021-07-03 20:44:27.847 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6f94fb9d
[DEBUG] 2021-07-03 20:44:27.849 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@44cffc25
[DEBUG] 2021-07-03 20:44:27.849 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@44cffc25
[DEBUG] 2021-07-03 20:44:27.852 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4f89331f
[DEBUG] 2021-07-03 20:44:27.852 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4f89331f
[DEBUG] 2021-07-03 20:44:27.855 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@38ed139b
[DEBUG] 2021-07-03 20:44:27.856 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@38ed139b
[DEBUG] 2021-07-03 20:44:27.860 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@10b1a751
[DEBUG] 2021-07-03 20:44:27.860 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@10b1a751
[DEBUG] 2021-07-03 20:44:27.870 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6ad16c5d
