[DEBUG] 2021-04-28 13:52:18.300 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-28 13:52:18.316 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-28 13:52:18.331 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-28 13:52:18.550 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-28 13:52:18.550 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-28 13:52:18.869 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-04-28 13:52:18.871 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-04-28 13:52:18.877 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-28 13:52:19.284 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-28 13:52:19.343 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-28 13:52:19.346 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-28 13:52:19.386 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-28 13:52:19.463 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@48840594
[DEBUG] 2021-04-28 13:52:19.464 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@48840594
[DEBUG] 2021-04-28 13:52:19.464 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@48840594
[DEBUG] 2021-04-28 13:52:19.465 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6ed16657
[DEBUG] 2021-04-28 13:52:19.466 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7979b8b7
[DEBUG] 2021-04-28 13:52:19.468 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4f66ffc8
[DEBUG] 2021-04-28 13:52:19.471 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@37e0292a
[DEBUG] 2021-04-28 13:52:19.471 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@37e0292a
[DEBUG] 2021-04-28 13:52:19.471 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@37e0292a
[DEBUG] 2021-04-28 13:52:19.473 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@9b21bd3
[DEBUG] 2021-04-28 13:52:19.473 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@9b21bd3
[DEBUG] 2021-04-28 13:52:19.473 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@9b21bd3
[DEBUG] 2021-04-28 13:52:19.476 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@42ea287
[DEBUG] 2021-04-28 13:52:19.476 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@42ea287
[DEBUG] 2021-04-28 13:52:19.477 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@42ea287
[DEBUG] 2021-04-28 13:52:19.479 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5ec4ff02
[DEBUG] 2021-04-28 13:52:19.479 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5ec4ff02
[DEBUG] 2021-04-28 13:52:19.479 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5ec4ff02
[DEBUG] 2021-04-28 13:52:19.488 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7efd28bd
[DEBUG] 2021-04-28 13:52:19.488 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7efd28bd
[DEBUG] 2021-04-28 13:52:19.488 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7efd28bd
[DEBUG] 2021-04-28 13:52:19.490 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4068102e
[DEBUG] 2021-04-28 13:52:19.491 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4068102e
[DEBUG] 2021-04-28 13:52:19.491 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4068102e
[DEBUG] 2021-04-28 13:52:19.493 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36417a54
[DEBUG] 2021-04-28 13:52:19.493 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36417a54
[DEBUG] 2021-04-28 13:52:19.493 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@36417a54
[DEBUG] 2021-04-28 13:52:19.495 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@60cf62ad
[DEBUG] 2021-04-28 13:52:19.495 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@60cf62ad
[DEBUG] 2021-04-28 13:52:19.496 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@323f3c96
[DEBUG] 2021-04-28 13:52:19.497 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@323f3c96
[DEBUG] 2021-04-28 13:52:19.498 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@644ded04
[DEBUG] 2021-04-28 13:52:19.498 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@644ded04
[DEBUG] 2021-04-28 13:52:19.499 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5300cac
[DEBUG] 2021-04-28 13:52:19.501 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@673919a7
[DEBUG] 2021-04-28 13:52:19.503 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@78e22d35
[DEBUG] 2021-04-28 13:52:19.503 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@78e22d35
[DEBUG] 2021-04-28 13:52:19.504 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@582a764a
[DEBUG] 2021-04-28 13:52:19.504 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@582a764a
[DEBUG] 2021-04-28 13:52:19.520 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4beaf6bd
[DEBUG] 2021-04-28 13:52:19.520 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4beaf6bd
[DEBUG] 2021-04-28 13:52:19.523 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@48528634
