[DEBUG] 2021-07-03 21:04:16.173 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-07-03 21:04:16.195 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-07-03 21:04:16.195 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2021-07-03 21:04:16.242 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.search.mapper.orm.bootstrap.impl.HibernateSearchIntegrator].
[INFO ] 2021-07-03 21:04:16.396 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-07-03 21:04:16.396 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-07-03 21:04:16.703 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-07-03 21:04:16.703 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-07-03 21:04:16.703 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-07-03 21:04:17.104 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-07-03 21:04:17.104 [main] ServiceBinding - Overriding existing service binding [org.hibernate.search.mapper.orm.mapping.impl.HibernateSearchContextProviderService]
[DEBUG] 2021-07-03 21:04:17.135 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-07-03 21:04:17.135 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-07-03 21:04:17.173 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2021-07-03 21:04:17.236 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6e0c6a7a
[DEBUG] 2021-07-03 21:04:17.236 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6e0c6a7a
[DEBUG] 2021-07-03 21:04:17.236 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6e0c6a7a
[DEBUG] 2021-07-03 21:04:17.236 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@611a990b
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@65e21ce3
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5f0f9947
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@44536de4
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@44536de4
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@44536de4
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4d21c56e
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4d21c56e
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4d21c56e
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4faa298
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4faa298
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4faa298
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@733aa9d8
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@733aa9d8
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@733aa9d8
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@10f7c76
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@10f7c76
[DEBUG] 2021-07-03 21:04:17.251 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@10f7c76
[DEBUG] 2021-07-03 21:04:17.267 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5dd903be
[DEBUG] 2021-07-03 21:04:17.267 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5dd903be
[DEBUG] 2021-07-03 21:04:17.267 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5dd903be
[DEBUG] 2021-07-03 21:04:17.267 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5a6fa56e
[DEBUG] 2021-07-03 21:04:17.267 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5a6fa56e
[DEBUG] 2021-07-03 21:04:17.267 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5a6fa56e
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@784abd3e
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@784abd3e
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@bc042d5
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@bc042d5
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@68ab0936
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@68ab0936
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@74ecacc3
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@27d33393
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1305c126
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1305c126
[DEBUG] 2021-07-03 21:04:17.274 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@23f3da8b
