[DEBUG] 2021-08-13 18:35:24.989 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-08-13 18:35:25.005 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-08-13 18:35:25.020 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2021-08-13 18:35:25.083 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.search.mapper.orm.bootstrap.impl.HibernateSearchIntegrator].
[INFO ] 2021-08-13 18:35:25.286 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-08-13 18:35:25.302 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-08-13 18:35:25.676 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-08-13 18:35:25.692 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-08-13 18:35:25.692 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-08-13 18:35:26.161 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-08-13 18:35:26.161 [main] ServiceBinding - Overriding existing service binding [org.hibernate.search.mapper.orm.mapping.impl.HibernateSearchContextProviderService]
[DEBUG] 2021-08-13 18:35:26.192 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-08-13 18:35:26.208 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-08-13 18:35:26.239 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@40298285
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@40298285
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@40298285
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6482eef
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5bcb04cb
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2bef09c0
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1023150a
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1023150a
[DEBUG] 2021-08-13 18:35:26.614 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1023150a
[DEBUG] 2021-08-13 18:35:26.630 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@21f8e55f
[DEBUG] 2021-08-13 18:35:26.630 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@21f8e55f
[DEBUG] 2021-08-13 18:35:26.630 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@21f8e55f
[DEBUG] 2021-08-13 18:35:26.630 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@724c5cbe
[DEBUG] 2021-08-13 18:35:26.630 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@724c5cbe
